kind,srg_name,owner,descriptor,hint_vanilla_name,MITE_candidates_same_desc,called_by
method,func_72910_y,net/minecraft/world/World,()Ljava/util/List;,getLoadedEntityList,net/minecraft/world/World::getLoadedEntityList | net/minecraft/world/World::getWeatherEventsForToday,com/sk89q/worldedit/forge/ForgeWorld
method,func_72938_d,net/minecraft/world/World,(II)Lnet/minecraft/world/chunk/Chunk;,getChunkFromBlockCoords,net/minecraft/world/World::getChunkIfItExists | net/minecraft/world/World::getChunkFromBlockCoordsIfItExists | net/minecraft/world/World::getChunkFromBlockCoords | net/minecraft/world/World::getChunkFromChunkCoords,com/sk89q/worldedit/forge/ForgeWorld
method,func_72957_l,net/minecraft/world/World,(III)I,getGameRules,net/minecraft/world/World::getBlockId | net/minecraft/world/World::blockGetRenderType | net/minecraft/world/World::getBlockMetadata | net/minecraft/world/World::getFullBlockLightValue | net/minecraft/world/World::getBlockLightValue | net/minecraft/world/World::getSavedSkylightValue | net/minecraft/world/World::getSavedBlocklightValue | net/minecraft/world/World::getBlockPowerInput | net/minecraft/world/World::getStrongestIndirectPower,com/sk89q/worldedit/forge/ForgeWorld
method,func_72964_e,net/minecraft/world/World,(II)Lnet/minecraft/world/chunk/Chunk;,getChunkFromChunkCoords,net/minecraft/world/World::getChunkIfItExists | net/minecraft/world/World::getChunkFromBlockCoordsIfItExists | net/minecraft/world/World::getChunkFromBlockCoords | net/minecraft/world/World::getChunkFromChunkCoords,com/sk89q/worldedit/forge/ForgeWorld
method,func_72969_x,net/minecraft/world/World,(III)V,markBlockForRenderUpdate,net/minecraft/world/World::markBlockForUpdate | net/minecraft/world/World::markBlockForRenderUpdate | net/minecraft/world/World::removeBlockTileEntity | net/minecraft/world/World::setSpawnLocation,com/sk89q/worldedit/forge/ForgeWorld
method,func_73154_d,net/minecraft/world/chunk/IChunkProvider,(II)Lnet/minecraft/world/chunk/Chunk;,provideChunk,net/minecraft/world/chunk/IChunkProvider::getChunkIfItExists | net/minecraft/world/chunk/IChunkProvider::provideChunk | net/minecraft/world/chunk/IChunkProvider::loadChunk,com/sk89q/worldedit/forge/ForgeWorld
method,func_73158_c,net/minecraft/world/gen/ChunkProviderServer,(II)Lnet/minecraft/world/chunk/Chunk;,loadChunk,net/minecraft/world/gen/ChunkProviderServer::getChunkIfItExists | net/minecraft/world/gen/ChunkProviderServer::loadChunk | net/minecraft/world/gen/ChunkProviderServer::provideChunk | net/minecraft/world/gen/ChunkProviderServer::safeLoadChunk,com/sk89q/worldedit/forge/ForgeWorld
method,func_74740_e,net/minecraft/nbt/NBTBase,()Ljava/lang/String;,getCompoundTag,net/minecraft/nbt/NBTBase::getName,com/sk89q/worldedit/forge/NBTConverter
method,func_74740_e,net/minecraft/nbt/NBTTagByte,()Ljava/lang/String;,getCompoundTag,net/minecraft/nbt/NBTTagByte::toString | net/minecraft/nbt/NBTBase::getName,com/sk89q/worldedit/forge/NBTConverter
method,func_74740_e,net/minecraft/nbt/NBTTagByteArray,()Ljava/lang/String;,getCompoundTag,net/minecraft/nbt/NBTTagByteArray::toString | net/minecraft/nbt/NBTBase::getName,com/sk89q/worldedit/forge/NBTConverter
